time,demand
2021-11-01,-234.3988801722693
2021-11-02,-295.5506813684121
2021-11-03,-327.20622706614137
2021-11-04,-332.2771786903187
2021-11-05,-276.24995907652374
2021-11-06,-269.95240346412214
2021-11-07,-212.1864217460889
2021-11-08,-270.89381053653756
2021-11-09,-195.8331341092143
2021-11-10,-228.56293723643182
